id,position,team,mpg,fgm,fga,fg%,ftm,fta,ft%,threepg,ppg,rpg,asg,spg,bpg,topg
M. Bamba Orl , C,Orl,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J. Brown Bos ," SG,SF",Bos,30:47,5.3,11.5,.465,2.1,3.3,.644,1.7,14.5,5.0,1.6,1.0,0.4,1.8
K. Bazemore Atl ," SG,SF",Atl,27:30,4.4,10.4,.420,2.5,3.1,.796,1.7,12.9,3.8,3.5,1.5,0.7,2.4
J. Hart LAL ," SG,SF",LAL,23:10,2.8,6.0,.469,1.0,1.5,.702,1.2,7.9,4.2,1.3,0.7,0.3,0.7
J. Harris Bkn ," SG,SF",Bkn,25:16,3.9,8.0,.491,1.1,1.3,.827,1.9,10.8,3.3,1.6,0.4,0.3,1.2
D. Fox Sac , PG,Sac,27:42,4.5,10.9,.412,1.9,2.7,.723,0.6,11.6,2.8,4.4,1.0,0.3,2.4
D. Augustin Orl , PG,Orl,23:27,3.3,7.2,.452,2.2,2.5,.868,1.5,10.2,2.1,3.8,0.7,0.0,1.6
S. Dinwiddie Bkn , PG,Bkn,28:49,4.1,10.5,.387,2.7,3.4,.813,1.8,12.6,3.2,6.6,0.9,0.3,1.6
R. Jackson Det ," PG,SG",Det,26:41,5.5,12.8,.426,2.5,3.0,.836,1.2,14.6,2.8,5.3,0.6,0.1,2.2
B. Bogdanovic Ind ," SG,SF",Ind,30:47,5.1,10.7,.474,2.2,2.6,.868,1.9,14.3,3.4,1.5,0.7,0.1,1.3
